field.pose.pose.position.x,  field.pose.pose.position.y
232.835464477539,  -96.4167556762695
232.829940795898,  -96.5599365234375
232.823867797852,  -96.7164459228516
232.817199707031,  -96.8885116577149
232.809875488281,  -97.0771789550781
232.801895141602,  -97.2831726074219
232.793197631836,  -97.5070114135742
232.783798217773,  -97.7491073608399
232.773712158203,  -98.0093460083008
232.763061523437,  -98.2836761474609
232.75227355957,  -98.5619888305664
232.74153137207,  -98.8381652832031
232.731201171875,  -99.1070175170898
232.72087097168,  -99.3690795898437
232.711303710937,  -99.6237182617188
232.701629638672,  -99.8750457763672
232.69157409668,  -100.132446289063
232.68098449707,  -100.402153015137
232.669891357422,  -100.680274963379
232.659057617187,  -100.958793640137
232.647964477539,  -101.231498718262
232.637512207031,  -101.49829864502
232.626953125,  -101.75659942627
232.616912841797,  -102.006958007813
232.607391357422,  -102.248634338379
232.598236083984,  -102.483924865723
232.589141845703,  -102.718414306641
232.579940795898,  -102.956703186035
232.570739746094,  -103.194786071777
232.561614990234,  -103.432159423828
232.552520751953,  -103.66886138916
232.543411254883,  -103.904960632324
232.534317016602,  -104.14045715332
232.52522277832,  -104.375358581543
232.516250610352,  -104.609596252441
232.507263183594,  -104.843193054199
232.498275756836,  -105.076187133789
232.489288330078,  -105.308609008789
232.480361938477,  -105.540458679199
232.471435546875,  -105.772583007813
232.462295532227,  -106.009780883789
232.452987670898,  -106.251441955566
232.443588256836,  -106.494354248047
232.434356689453,  -106.734916687012
232.425216674805,  -106.971626281738
232.416244506836,  -107.204216003418
232.407379150391,  -107.434555053711
232.3984375,  -107.66641998291
232.389312744141,  -107.903671264648
232.379974365234,  -108.145523071289
232.370651245117,  -108.387351989746
232.361434936523,  -108.626220703125
232.352401733398,  -108.86124420166
232.343414306641,  -109.094146728516
232.334426879883,  -109.327789306641
232.325439453125,  -109.561149597168
232.31657409668,  -109.791656494141
232.307846069336,  -110.01815032959
232.299285888672,  -110.240264892578
232.290908813477,  -110.457878112793
232.282669067383,  -110.67130279541
232.274551391602,  -110.881843566895
232.266555786133,  -111.089088439941
232.258712768555,  -111.292388916016
232.251022338867,  -111.49153137207
232.243515014648,  -111.686538696289
232.236145019531,  -111.87744140625
232.228942871094,  -112.064567565918
232.221817016602,  -112.250541687012
232.21467590332,  -112.435981750488
232.207534790039,  -112.620849609375
232.200408935547,  -112.805076599121
232.193359375,  -112.988700866699
232.186309814453,  -113.17170715332
232.179275512695,  -113.354110717773
232.172241210937,  -113.535919189453
232.165252685547,  -113.717124938965
232.158309936523,  -113.897750854492
232.151382446289,  -114.077796936035
232.144454956055,  -114.257270812988
232.13786315918,  -114.428482055664
232.13134765625,  -114.597709655762
232.124481201172,  -114.77564239502
232.117126464844,  -114.966835021973
232.109161376953,  -115.173416137695
232.100555419922,  -115.396591186523
232.091278076172,  -115.637107849121
232.081329345703,  -115.895576477051
232.07063293457,  -116.172370910645
232.059265136719,  -116.466773986816
232.04719543457,  -116.780426025391
232.034454345703,  -117.111312866211
232.021148681641,  -117.456733703613
232.00764465332,  -117.806098937988
231.994293212891,  -118.152313232422
231.981262207031,  -118.48999786377
231.96858215332,  -118.818336486816
231.956481933594,  -119.135726928711
231.944488525391,  -119.443809509277
231.933181762695,  -119.743057250977
231.921661376953,  -120.037635803223
231.910736083984,  -120.326431274414
231.899627685547,  -120.608787536621
231.889266967773,  -120.882064819336
231.878768920898,  -121.146987915039
231.869079589844,  -121.401893615723
231.859512329102,  -121.647651672363
231.850112915039,  -121.883178710938
231.841003417969,  -122.109352111816
231.832107543945,  -122.329414367676
231.823196411133,  -122.548988342285
231.81413269043,  -122.773643493652
231.808944702148,  -122.998603820801
231.804138183594,  -123.222358703613
231.797424316406,  -123.445320129395
231.790451049805,  -123.667594909668
231.783386230469,  -123.889198303223
231.776306152344,  -124.110160827637
231.769149780273,  -124.330505371094
231.76203918457,  -124.550254821777
231.754943847656,  -124.769378662109
231.747833251953,  -124.987907409668
231.740737915039,  -125.205833435059
231.733612060547,  -125.423461914063
231.726303100586,  -125.647323608398
231.718719482422,  -125.878173828125
231.71110534668,  -126.111015319824
231.703506469727,  -126.344078063965
231.69987487793,  -126.57942199707
231.696716308594,  -126.820289611816
231.69140625,  -127.065994262695
231.685775756836,  -127.311782836914
231.680130004883,  -127.554634094238
231.674530029297,  -127.793350219727
231.6689453125,  -128.02783203125
231.663391113281,  -128.260009765625
231.657806396484,  -128.492813110352
231.652206420898,  -128.725296020508
231.64665222168,  -128.954864501953
231.641204833984,  -129.180404663086
231.635879516602,  -129.401565551758
231.630645751953,  -129.618499755859
231.62548828125,  -129.833282470703
231.620254516602,  -130.049697875977
231.614898681641,  -130.272277832031
231.609298706055,  -130.504364013672
231.603515625,  -130.744064331055
231.59765625,  -130.985717773438
231.591903686523,  -131.225204467773
231.586212158203,  -131.460906982422
231.580642700195,  -131.692260742188
231.575149536133,  -131.919357299805
231.569702148437,  -132.144790649414
231.564254760742,  -132.369812011719
231.558883666992,  -132.594299316406
231.553512573242,  -132.81819152832
231.548126220703,  -133.041488647461
231.542755126953,  -133.26416015625
231.537384033203,  -133.486221313477
231.532012939453,  -133.70768737793
231.526672363281,  -133.928512573242
231.521408081055,  -134.148742675781
231.516128540039,  -134.368377685547
231.510848999023,  -134.587387084961
231.505752563477,  -134.799331665039
231.500854492187,  -135.002883911133
231.495834350586,  -135.211349487305
231.490539550781,  -135.431167602539
231.484878540039,  -135.665344238281
231.478866577148,  -135.915557861328
231.472412109375,  -136.182632446289
231.465545654297,  -136.467544555664
231.458251953125,  -136.769622802734
231.450500488281,  -137.090545654297
231.442352294922,  -137.428863525391
231.43376159668,  -137.785507202148
231.424835205078,  -138.155349731445
231.415756225586,  -138.529922485352
231.406814575195,  -138.89973449707
231.398040771484,  -139.261825561523
231.389724731445,  -139.612915039063
231.381362915039,  -139.953735351563
231.369369506836,  -140.28515625
231.350662231445,  -140.611175537109
231.323913574219,  -140.935348510742
231.284622192383,  -141.265090942383
231.242736816406,  -141.606796264648
231.204559326172,  -141.960693359375
231.166152954102,  -142.316757202148
231.127578735352,  -142.668060302734
231.089859008789,  -143.010635375977
231.052886962891,  -143.344436645508
231.017517089844,  -143.667068481445
230.982986450195,  -143.979110717773
230.95002746582,  -144.27995300293
230.913665771484,  -144.57177734375
230.87272644043,  -144.856796264648
230.82763671875,  -145.140686035156
230.776092529297,  -145.421051025391
230.722351074219,  -145.700042724609
230.67366027832,  -145.978225708008
230.624694824219,  -146.256301879883
230.576354980469,  -146.533126831055
230.527526855469,  -146.810043334961
230.47966003418,  -147.085479736328
230.43147277832,  -147.36083984375
230.380462646484,  -147.634078979492
230.32373046875,  -147.905090332031
230.261154174805,  -148.171981811523
230.189270019531,  -148.436614990234
230.116714477539,  -148.70686340332
230.046936035156,  -148.985931396484
229.977478027344,  -149.265686035156
229.908004760742,  -149.543685913086
229.840087890625,  -149.817169189453
229.772872924805,  -150.086807250977
229.707611083984,  -150.351425170898
229.642669677734,  -150.612930297852
229.578765869141,  -150.872299194336
229.513549804687,  -151.135208129883
229.442474365234,  -151.404449462891
229.361251831055,  -151.684814453125
229.278015136719,  -151.979721069336
229.193801879883,  -152.286407470703
229.109039306641,  -152.59504699707
229.02458190918,  -152.901657104492
228.941833496094,  -153.203353881836
228.85986328125,  -153.500747680664
228.77978515625,  -153.792419433594
228.700561523438,  -154.080413818359
228.618591308594,  -154.365127563477
228.529190063477,  -154.65104675293
228.429351806641,  -154.941192626953
228.315002441406,  -155.238815307617
228.195816040039,  -155.548492431641
228.077514648437,  -155.87060546875
227.958679199219,  -156.195053100586
227.840087890625,  -156.517333984375
227.72346496582,  -156.834396362305
227.608215332031,  -157.146728515625
227.495559692383,  -157.452774047852
227.384689331055,  -157.753875732422
227.275329589844,  -158.051254272461
227.165542602539,  -158.348693847656
227.053100585937,  -158.643157958984
226.934860229492,  -158.93424987793
226.810699462891,  -159.220169067383
226.677688598633,  -159.500106811523
226.536224365234,  -159.771713256836
226.38996887207,  -160.03923034668
226.25016784668,  -160.309356689453
226.110794067383,  -160.579376220703
225.972259521484,  -160.848052978516
225.83317565918,  -161.116424560547
225.698196411133,  -161.378143310547
225.573059082031,  -161.621505737305
225.454895019531,  -161.850372314453
225.342102050781,  -162.068725585938
225.23469543457,  -162.276763916016
225.127578735352,  -162.476089477539
225.016143798828,  -162.671173095703
224.896347045898,  -162.866653442383
224.763900756836,  -163.065719604492
224.625442504883,  -163.277389526367
224.486770629883,  -163.502212524414
224.348449707031,  -163.729553222656
224.212768554687,  -163.952041625977
224.081771850586,  -164.16911315918
223.954803466797,  -164.379623413086
223.83235168457,  -164.582946777344
223.71435546875,  -164.779220581055
223.599151611328,  -164.970672607422
223.484298706055,  -165.161926269531
223.36311340332,  -165.355972290039
223.230987548828,  -165.555725097656
223.087860107422,  -165.765365600586
222.930099487305,  -165.983734130859
222.762924194336,  -166.213455200195
222.5927734375,  -166.457885742188
222.421340942383,  -166.705993652344
222.251434326172,  -166.951477050781
222.086486816406,  -167.190628051758
221.925643920898,  -167.423400878906
221.769424438477,  -167.650207519531
221.615112304687,  -167.873840332031
221.462066650391,  -168.096542358398
221.308380126953,  -168.319305419922
221.153289794922,  -168.538589477539
220.993804931641,  -168.753616333008
220.83283996582,  -168.965194702148
220.666717529297,  -169.172180175781
220.496170043945,  -169.372024536133
220.32551574707,  -169.571746826172
220.159957885742,  -169.773147583008
219.994445800781,  -169.974487304688
219.830291748047,  -170.174957275391
219.665771484375,  -170.37565612793
219.502380371094,  -170.576232910156
219.338455200195,  -170.776672363281
219.172546386719,  -170.974838256836
218.998886108398,  -171.172637939453
218.814041137695,  -171.371231079102
218.612747192383,  -171.572570800781
218.401809692383,  -171.785049438477
218.186752319336,  -172.010101318359
217.970596313477,  -172.237091064453
217.755264282227,  -172.462615966797
217.543914794922,  -172.684524536133
217.33544921875,  -172.903106689453
217.130294799805,  -173.118865966797
216.925308227539,  -173.334075927734
216.718933105469,  -173.551422119141
216.505752563477,  -173.775482177734
216.280364990234,  -174.005477905273
216.039733886719,  -174.240447998047
215.783935546875,  -174.477401733398
215.515411376953,  -174.721557617188
215.24284362793,  -174.976272583008
214.967590332031,  -175.233047485352
214.69401550293,  -175.487655639648
214.42333984375,  -175.738861083984
214.157287597656,  -175.985916137695
213.893692016602,  -176.230392456055
213.628967285156,  -176.47038269043
213.356903076172,  -176.706619262695
213.077239990234,  -176.936752319336
212.79704284668,  -177.163360595703
212.520523071289,  -177.392944335938
212.243957519531,  -177.621398925781
211.96826171875,  -177.848449707031
211.69206237793,  -178.075302124023
211.416687011719,  -178.301559448242
211.141326904297,  -178.527404785156
210.86750793457,  -178.752395629883
210.591033935547,  -178.973251342773
210.311965942383,  -179.188049316406
210.029968261719,  -179.398025512695
209.743621826172,  -179.600479125977
209.449279785156,  -179.803909301758
209.153289794922,  -180.013946533203
208.855422973633,  -180.224563598633
208.559585571289,  -180.433532714844
208.265640258789,  -180.640441894531
207.975234985352,  -180.844879150391
207.6875,  -181.047164916992
207.402526855469,  -181.247909545898
207.116592407227,  -181.448928833008
206.825759887695,  -181.648086547852
206.524765014648,  -181.8447265625
206.211975097656,  -182.037261962891
205.885528564453,  -182.22314453125
205.552886962891,  -182.410461425781
